Country,Population,Regime,Probability_of_elimination_by_2000,Probability_of_elimination_by_2001,Probability_of_elimination_by_2002,Probability_of_elimination_by_2003,Probability_of_elimination_by_2004,Probability_of_elimination_by_2005,Probability_of_elimination_by_2006,Probability_of_elimination_by_2007,Probability_of_elimination_by_2008,Probability_of_elimination_by_2009,Probability_of_elimination_by_2010,Probability_of_elimination_by_2011,Probability_of_elimination_by_2012,Probability_of_elimination_by_2013,Probability_of_elimination_by_2014,Probability_of_elimination_by_2015,Probability_of_elimination_by_2016,Probability_of_elimination_by_2017,Probability_of_elimination_by_2018,Probability_of_elimination_by_2019,Probability_of_elimination_by_2020,Probability_of_elimination_by_2021,Probability_of_elimination_by_2022,Probability_of_elimination_by_2023,Probability_of_elimination_by_2024,Probability_of_elimination_by_2025,Probability_of_elimination_by_2026,Probability_of_elimination_by_2027,Probability_of_elimination_by_2028,Probability_of_elimination_by_2029,Probability_of_elimination_by_2030,Prev_Year2000,Prev_Year2001,Prev_Year2002,Prev_Year2003,Prev_Year2004,Prev_Year2005,Prev_Year2006,Prev_Year2007,Prev_Year2008,Prev_Year2009,Prev_Year2010,Prev_Year2011,Prev_Year2012,Prev_Year2013,Prev_Year2014,Prev_Year2015,Prev_Year2016,Prev_Year2017,Prev_Year2018,Prev_Year2019,Prev_Year2020,Prev_Year2021,Prev_Year2022,Prev_Year2023,Prev_Year2024,Prev_Year2025,Prev_Year2026,Prev_Year2027,Prev_Year2028,Prev_Year2029,Prev_Year2030,Lower_Bound_Year2000,Lower_Bound_Year2001,Lower_Bound_Year2002,Lower_Bound_Year2003,Lower_Bound_Year2004,Lower_Bound_Year2005,Lower_Bound_Year2006,Lower_Bound_Year2007,Lower_Bound_Year2008,Lower_Bound_Year2009,Lower_Bound_Year2010,Lower_Bound_Year2011,Lower_Bound_Year2012,Lower_Bound_Year2013,Lower_Bound_Year2014,Lower_Bound_Year2015,Lower_Bound_Year2016,Lower_Bound_Year2017,Lower_Bound_Year2018,Lower_Bound_Year2019,Lower_Bound_Year2020,Lower_Bound_Year2021,Lower_Bound_Year2022,Lower_Bound_Year2023,Lower_Bound_Year2024,Lower_Bound_Year2025,Lower_Bound_Year2026,Lower_Bound_Year2027,Lower_Bound_Year2028,Lower_Bound_Year2029,Lower_Bound_Year2030,Upper_Bound_Year2000,Upper_Bound_Year2001,Upper_Bound_Year2002,Upper_Bound_Year2003,Upper_Bound_Year2004,Upper_Bound_Year2005,Upper_Bound_Year2006,Upper_Bound_Year2007,Upper_Bound_Year2008,Upper_Bound_Year2009,Upper_Bound_Year2010,Upper_Bound_Year2011,Upper_Bound_Year2012,Upper_Bound_Year2013,Upper_Bound_Year2014,Upper_Bound_Year2015,Upper_Bound_Year2016,Upper_Bound_Year2017,Upper_Bound_Year2018,Upper_Bound_Year2019,Upper_Bound_Year2020,Upper_Bound_Year2021,Upper_Bound_Year2022,Upper_Bound_Year2023,Upper_Bound_Year2024,Upper_Bound_Year2025,Upper_Bound_Year2026,Upper_Bound_Year2027,Upper_Bound_Year2028,Upper_Bound_Year2029,Upper_Bound_Year2030
ZWE,9836733.29268315,No MDA,0.762858424181374,0.764594507244464,0.765681474360051,0.767808522366484,0.771261081540911,0.773475048682053,0.776198805769417,0.784215890854924,0.796758968814254,0.814183636887609,0.835087787326375,0.856429640679765,0.877427481885889,0.893892911965679,0.910366254805276,0.925573572329711,0.939976939790074,0.941747024225482,0.946496987667089,0.949365824638421,0.953226968061122,0.955788903183734,0.958984053057894,0.961690932875796,0.964120807877975,0.966803652373106,0.968146736344389,0.970214263153564,0.971650814672097,0.974181675178018,0.974847626046659,0.00826978688546995,0.0082008925003868,0.00812002672752871,0.00802907118769718,0.00796374374145492,0.00787957308458138,0.00779356083002924,0.00771327256700918,0.0075211045000928,0.00718434267861878,0.00678902419609849,0.00634393622061073,0.0059254545305773,0.00550368526534998,0.00509933522010393,0.00472119884839437,0.00435184811088947,0.00395990265834987,0.00381037591076753,0.0036150752291886,0.00343346776648647,0.00326563059391952,0.0031078642604974,0.00296101907841881,0.00282967541997848,0.00269660240405223,0.00256488048770604,0.00246530570000384,0.00235420973807517,0.00225081226636644,0.00215574498381972,0.000150187213310814,0.000151460351890084,0.000149825681451307,0.000151956917072848,0.00015585398984322,0.000157683427450452,0.000159464348191126,0.000162091023331786,0.000162433743458154,0.000158549478125456,0.00015443875174258,0.00014729413564934,0.000141893201061276,0.00013553118258627,0.000130049315156219,0.000124889012678076,0.000118808629543934,0.000116516843168597,0.000101545388451984,8.98369677491223e-05,7.77761548239022e-05,6.72738574124981e-05,5.77464184418926e-05,5.12296264657673e-05,4.37286917366425e-05,3.66400781746659e-05,3.11914832123308e-05,2.72229667972511e-05,2.26865273835404e-05,1.83431020282846e-05,1.46248840907216e-05,0.031018008828705,0.0305623269560896,0.029884232695767,0.0293651461602522,0.0289563936651919,0.0283584696743348,0.0278565419292427,0.0273248266837117,0.0264515974147763,0.0250527712072087,0.0235114797237701,0.021672475345017,0.020006737696888,0.0183412171492499,0.0167536994233382,0.0152237878149156,0.0138023845748733,0.0121057959515827,0.012107190521215,0.0116889098949288,0.011351204886335,0.0109780115390805,0.010662350542617,0.0103453268333409,0.010055092554822,0.00980694140539006,0.00951566970653228,0.00925427045007645,0.00902052550125277,0.00884401461416615,0.00853405806295637
ZWE,9836733.29268315,Current WHO guidelines,0.760805691296985,0.764965910152851,0.764873973167118,0.766118039857669,0.770974539813616,0.774474052875796,0.776848255381758,0.78425568383127,0.799673666242389,0.816715712037356,0.835361045521182,0.859429114488907,0.877242194770575,0.895853416017168,0.911765574090788,0.925687235018658,0.939798106823913,0.942041429390072,0.981676557036989,0.991847330300173,0.99648677389393,0.998487514022417,0.999335804014131,0.999646497052457,0.999777448304099,0.999846566951297,0.999891882796634,0.999924958181825,0.999939890041107,0.999950940325823,0.999959582042964,0.00827270748301769,0.00820600935701111,0.00811346900983526,0.00804112281057877,0.00795513064406064,0.00787442568679661,0.00778202264446725,0.00768271274134338,0.00748865011589937,0.00715066074215328,0.00674300037657503,0.0063191859969193,0.0058969074320344,0.00548745441176535,0.00507157620738444,0.00469938760803152,0.00434323788344774,0.00395627794388049,0.00380002386089058,0.00187209008682523,0.00116654100989568,0.000767747709255604,0.000531357075901376,0.000370782804360275,0.000261914193572885,0.00018061354774924,0.000123590470564272,8.14293534864175e-05,5.3465808856943e-05,3.48004948665319e-05,2.33690248910476e-05,0.000153156737465884,0.000155239721463987,0.000152165054679347,0.000154418717916341,0.00015806292782349,0.000159885564945928,0.000160562004018212,0.000163070928565961,0.00016422842620582,0.000160856500648946,0.000155559244743321,0.00014838319497381,0.000141785652073565,0.000137181265365392,0.000130138906956216,0.000124996041777934,0.000118280545037585,0.000116633862164141,0.000100676105416882,1.96163883574188e-05,5.8660336030438e-06,3.35039100825242e-06,2.65185754726007e-06,9.97086970457767e-07,6.54103722122593e-07,3.22448623985889e-07,1.0364493956175e-08,3.03848774868741e-09,0,0,0,0.0307891925252927,0.0304521109445412,0.029922778775562,0.0293313509068394,0.0287318540254316,0.0283004938058652,0.0277409991185529,0.0270917022954914,0.0262047458904801,0.0248352025716382,0.0231737630104982,0.0215108418011244,0.0198374575104977,0.0182340338022507,0.0166076295402262,0.0151507495418771,0.0137805608461625,0.0121095755735369,0.0120658300666393,0.00661806141822601,0.00455028123206532,0.00335748091530959,0.00262021182336572,0.00210915947688689,0.00171343453239131,0.00141873017854899,0.00119018021210355,0.000878366048067806,0.000591549581139858,0.000353481767886066,0.000203420654392067
ZWE,9836733.29268315,Enhanced coverage,0.758998788901371,0.76302208842468,0.763827430815422,0.765961947490766,0.772072863605956,0.773809891499555,0.777439099315117,0.786006459818072,0.797508907883514,0.815287353776358,0.833830727181253,0.856959289885631,0.876953548819426,0.895734014302786,0.910731120165013,0.92539568135078,0.939758855343488,0.942271417197443,0.987364823975499,0.995921538808818,0.998883938732946,0.999689085337175,0.999874050213995,0.999934593736509,0.999961807302684,0.999977512728996,0.999982213040736,0.999991317694157,0.999995387662508,0.999995658072488,0.99999621177876,0.00827219905382048,0.00819300167384764,0.00809639838928052,0.00803597822320638,0.00796311810346988,0.00788341904118584,0.00779311543942366,0.00770048109379792,0.00749903708390873,0.00717428210176382,0.00675509227053808,0.00633420178803063,0.00589420666020646,0.00547808442380126,0.00506353652902256,0.00470131812811943,0.00434367358496699,0.00394938976302721,0.00379217946262054,0.00146057227478382,0.000794500903663005,0.000461861656376554,0.000278877426176442,0.000168481163235494,9.76530907893524e-05,5.38183990319608e-05,2.80430551325642e-05,1.40018786438046e-05,6.76405986988806e-06,2.28536987283903e-06,8.2444978134066e-07,0.000153368780895542,0.000154329738166015,0.000152232635829478,0.00015523925702581,0.000158376031607718,0.000159281701580567,0.000160910184092311,0.000163528985714429,0.00016462936705687,0.000160432986970005,0.000154775645664189,0.00015047176507705,0.000142849022794609,0.000136579224260914,0.000131088295502443,0.0001255219156169,0.000119055238420187,0.000116536765240172,0.000100636280338684,6.50952118776854e-06,3.71241965159616e-06,2.55982716069967e-06,8.21720271839401e-07,3.44648375089192e-07,1.37182360562146e-08,4.0877384845667e-09,0,0,0,0,0,0.0306099077094882,0.0300307952554713,0.0296138423329595,0.0292437124327109,0.0288509098133112,0.0284445474947354,0.0279436641218923,0.0273059997631811,0.0265480353202216,0.0249966680521708,0.0233349826626411,0.0215296589203957,0.0197895991920544,0.0181788765105756,0.0165651053556635,0.0151526813842648,0.0138240030497747,0.0121060561075693,0.0120745939030331,0.00564301871978378,0.00360582204951381,0.00244715235846751,0.0017407731526269,0.00124900206829616,0.000865559542516735,0.000521401230017272,0.000266362489515547,0.000118921245653878,4.6588639761005e-05,1.48463326678518e-05,3.05869334234173e-06
ZWE,9836733.29268315,Enhanced frequency,0.761126899439696,0.763675763109436,0.764146090499575,0.766506168383507,0.770666359720805,0.772457736071889,0.775798410919528,0.784229142813759,0.797191131252735,0.815309440194398,0.833845165723115,0.856330059584627,0.876648589624982,0.896423802592071,0.911663263806406,0.925770049282573,0.940139591152814,0.94186645519309,0.992092731603164,0.998230270724897,0.99947315496159,0.999745934535201,0.999866418175927,0.999910903916964,0.999942720088715,0.9999630229167,0.999971782590666,0.999978606029228,0.9999832273485,0.999988494969274,0.999994264603751,0.00824288662696806,0.00817429684050743,0.00807934925732507,0.00801911788809608,0.00793453029232822,0.00786593277426816,0.00777843601061147,0.00769104626240084,0.00748959127564121,0.00716392166733424,0.00675523186995639,0.00633362419780899,0.00591106271962981,0.00549133214709591,0.00506584651976773,0.00470232232900663,0.00433881945368074,0.00395254842406619,0.00379564209923104,0.00113800028971446,0.000565020362904611,0.000309863601133077,0.000169855658825376,9.461490265114e-05,5.56702542698774e-05,3.53258844810532e-05,2.58784918244236e-05,1.82273510631999e-05,1.39947551503625e-05,1.1208631155842e-05,7.3261534556275e-06,0.000150622077337763,0.000150685534484371,0.000148682904614925,0.000151430451018511,0.000153023282741003,0.000156741835272439,0.000159276622819181,0.000161229640984665,0.000162594648469384,0.000158985310987419,0.000154765315730166,0.000147074105648838,0.000141155569255098,0.000134660018258421,0.000129216786978047,0.000123398279870951,0.000117694107209,0.000116538311460811,0.000101336097912928,6.22119699315318e-06,2.63962092097876e-06,7.09863586311502e-07,3.14293115221243e-07,3.5797238609844e-09,0,0,0,0,0,0,0,0.0306311845695159,0.0301984894283627,0.0296724089775762,0.0293093256482683,0.028733512623225,0.028278850388924,0.0277990496070764,0.027178323116181,0.0262528644046991,0.024906765979124,0.0232234721134074,0.0215880653776843,0.0199084925093268,0.0182302315646512,0.016571551180209,0.015166059085297,0.0137876238234147,0.01210175642186,0.0120891959227745,0.0044670777595851,0.00268517728699123,0.00188224861580953,0.00143302816334352,0.00109703273192425,0.000753800037746948,0.000385151107486039,0.000202634404148902,8.64769713735291e-05,5.50513859912969e-05,4.07702497422259e-05,2.44989876631942e-05
