Country,Population,Regime,Probability_of_elimination_by_2000,Probability_of_elimination_by_2001,Probability_of_elimination_by_2002,Probability_of_elimination_by_2003,Probability_of_elimination_by_2004,Probability_of_elimination_by_2005,Probability_of_elimination_by_2006,Probability_of_elimination_by_2007,Probability_of_elimination_by_2008,Probability_of_elimination_by_2009,Probability_of_elimination_by_2010,Probability_of_elimination_by_2011,Probability_of_elimination_by_2012,Probability_of_elimination_by_2013,Probability_of_elimination_by_2014,Probability_of_elimination_by_2015,Probability_of_elimination_by_2016,Probability_of_elimination_by_2017,Probability_of_elimination_by_2018,Probability_of_elimination_by_2019,Probability_of_elimination_by_2020,Probability_of_elimination_by_2021,Probability_of_elimination_by_2022,Probability_of_elimination_by_2023,Probability_of_elimination_by_2024,Probability_of_elimination_by_2025,Probability_of_elimination_by_2026,Probability_of_elimination_by_2027,Probability_of_elimination_by_2028,Probability_of_elimination_by_2029,Probability_of_elimination_by_2030,Prev_Year2000,Prev_Year2001,Prev_Year2002,Prev_Year2003,Prev_Year2004,Prev_Year2005,Prev_Year2006,Prev_Year2007,Prev_Year2008,Prev_Year2009,Prev_Year2010,Prev_Year2011,Prev_Year2012,Prev_Year2013,Prev_Year2014,Prev_Year2015,Prev_Year2016,Prev_Year2017,Prev_Year2018,Prev_Year2019,Prev_Year2020,Prev_Year2021,Prev_Year2022,Prev_Year2023,Prev_Year2024,Prev_Year2025,Prev_Year2026,Prev_Year2027,Prev_Year2028,Prev_Year2029,Prev_Year2030,Lower_Bound_Year2000,Lower_Bound_Year2001,Lower_Bound_Year2002,Lower_Bound_Year2003,Lower_Bound_Year2004,Lower_Bound_Year2005,Lower_Bound_Year2006,Lower_Bound_Year2007,Lower_Bound_Year2008,Lower_Bound_Year2009,Lower_Bound_Year2010,Lower_Bound_Year2011,Lower_Bound_Year2012,Lower_Bound_Year2013,Lower_Bound_Year2014,Lower_Bound_Year2015,Lower_Bound_Year2016,Lower_Bound_Year2017,Lower_Bound_Year2018,Lower_Bound_Year2019,Lower_Bound_Year2020,Lower_Bound_Year2021,Lower_Bound_Year2022,Lower_Bound_Year2023,Lower_Bound_Year2024,Lower_Bound_Year2025,Lower_Bound_Year2026,Lower_Bound_Year2027,Lower_Bound_Year2028,Lower_Bound_Year2029,Lower_Bound_Year2030,Upper_Bound_Year2000,Upper_Bound_Year2001,Upper_Bound_Year2002,Upper_Bound_Year2003,Upper_Bound_Year2004,Upper_Bound_Year2005,Upper_Bound_Year2006,Upper_Bound_Year2007,Upper_Bound_Year2008,Upper_Bound_Year2009,Upper_Bound_Year2010,Upper_Bound_Year2011,Upper_Bound_Year2012,Upper_Bound_Year2013,Upper_Bound_Year2014,Upper_Bound_Year2015,Upper_Bound_Year2016,Upper_Bound_Year2017,Upper_Bound_Year2018,Upper_Bound_Year2019,Upper_Bound_Year2020,Upper_Bound_Year2021,Upper_Bound_Year2022,Upper_Bound_Year2023,Upper_Bound_Year2024,Upper_Bound_Year2025,Upper_Bound_Year2026,Upper_Bound_Year2027,Upper_Bound_Year2028,Upper_Bound_Year2029,Upper_Bound_Year2030
ETH,66179525.4017552,No MDA,0.918406475562302,0.919134595822347,0.920709630592056,0.924235019483724,0.922413577335001,0.924834415356907,0.927973860177847,0.927517114255614,0.930818070209265,0.936378490344203,0.939067245951899,0.946472403895701,0.956006179050474,0.962424521601643,0.96916245597409,0.973809333793873,0.978539410621794,0.98082856813075,0.981326416563787,0.982105762975394,0.983012417542603,0.984028704692457,0.985006758799179,0.985863819809396,0.98676358791144,0.987737363233113,0.988539723852523,0.989124768061958,0.98973672126684,0.990354043002436,0.990804069630675,0.00590243123790995,0.00587339069834744,0.00583979191717171,0.00579900797083299,0.00574884182815679,0.00570560302581812,0.00564425419355369,0.00561035759713967,0.00556128994167691,0.00550660776069662,0.00535428711799803,0.00519655519695761,0.00495536723964535,0.00446390333618235,0.00425346532996755,0.00384052779667112,0.00345216247516387,0.00308881381014758,0.00286951028089551,0.00274996104456369,0.00262748868855834,0.00250516588274468,0.00239312390926685,0.0022702972143756,0.0021645027600741,0.00206576475536757,0.00196429001685093,0.00188353339101008,0.00180490445560693,0.00172459736502891,0.00166200538463112,0.000374279458756239,0.00037668863430348,0.000378071270890388,0.000383340131654728,0.00038656347948871,0.000390883429936743,0.000393166667825317,0.000398170446682894,0.000402005140439383,0.000405349524056861,0.000372545641455406,0.000356528138382882,0.000340174534295763,0.000246889768331109,0.000248066750938968,0.000195099050050046,0.00015174866165298,0.00012172293001864,0.000102744726555756,0.000101117409432386,9.55346260374523e-05,9.0075556905446e-05,8.43623228737577e-05,7.98031506569992e-05,7.56199841045032e-05,7.13416920509202e-05,6.74643606755838e-05,6.44590099630829e-05,6.17320789511936e-05,5.79348156316914e-05,5.42765950302648e-05,0.017270609188664,0.0172679635377459,0.0170852154064173,0.0169360846946546,0.0167162053517401,0.0166554344307509,0.0163720734359541,0.0161652338607791,0.0160013162951411,0.015657916160696,0.0151177194293094,0.0145688941482784,0.0138331639516091,0.0122910334958449,0.0114503956180646,0.0101510084436028,0.00910448434073599,0.00774486045392787,0.00749787788110231,0.00733842191754786,0.00711780427893676,0.00685673991537575,0.0066064510811934,0.00644716314118391,0.00631490000957176,0.00617179723900337,0.00592072805362921,0.00590381750992083,0.00561516521010295,0.0055282367591687,0.00541538675971086
ETH,66179525.4017552,Current WHO guidelines,0.917510347332568,0.918279112273877,0.919046282037745,0.920010704792077,0.921338795304882,0.925993032365918,0.927979369573541,0.931580040845712,0.935041847899458,0.938152981963148,0.940603717248897,0.948497554087678,0.957597353468313,0.962490636457714,0.969100736192452,0.973785209595459,0.978522521066829,0.980805113056499,0.989983193027764,0.993921358132987,0.996238377401932,0.997659493475403,0.998511633292058,0.999022215051046,0.999321801120933,0.999520106452647,0.999654801161983,0.999746292461318,0.999814018021558,0.999862421741373,0.999896709164238,0.00581006076756734,0.0057885590252414,0.0057646497641111,0.00575053835596642,0.00570407016158719,0.00568031814244592,0.0056382646434273,0.00560616504520456,0.00555547436425893,0.00551363822080895,0.00535394475364911,0.00520649146867092,0.00495867635367818,0.00446709605756244,0.0042541496329093,0.0038312847852493,0.00345310057608187,0.00308257694915234,0.00288507383693043,0.00164392828052097,0.00113556457089849,0.00081555106896298,0.000595744387239953,0.000437533751261097,0.000323820634982452,0.000234831257974377,0.000168828145569532,0.000119836060544149,8.37670104892631e-05,5.79659887704777e-05,3.95969926851921e-05,0.000374933226575617,0.000376916161322098,0.000377982486635461,0.000383133756765643,0.000386457779564705,0.000391304478414181,0.000393456801450371,0.000398490269965618,0.000402255018944477,0.00040543468726877,0.00037250034336382,0.000356419432791605,0.000340530187015212,0.000246662663695964,0.000248001795798393,0.000195032530289989,0.000151882426799689,0.000121541780465582,0.000101737895910455,6.37157668676366e-05,4.89622444329879e-05,3.94669011684487e-05,2.78789624182016e-05,2.42454114287237e-05,1.20236286937468e-05,6.11922297762232e-06,3.45627354771891e-06,2.97272384359698e-06,1.47410308126175e-08,6.88390146715432e-09,1.71927266805109e-09,0.017866780844102,0.0176186480091161,0.0174476018298743,0.0174028190037405,0.0169955573777258,0.016669663278124,0.0162972761903108,0.0160479552394675,0.0157839421960324,0.0154858639079842,0.0149343157980361,0.0145365990561594,0.0136969301713288,0.0122325776588318,0.0113625629781636,0.0101553412000152,0.00900561785300586,0.00774476415115663,0.00751407949455594,0.00481310731192822,0.00365069155469896,0.00285783053787625,0.00228040263510323,0.00183929441465826,0.00149912223991963,0.0011858021331827,0.000947960813692234,0.00074276632370358,0.000571318201400684,0.000451906257957191,0.000346161597881513
ETH,66179525.4017552,Enhanced coverage,0.923423253228223,0.925340818554013,0.925361988428907,0.926392554850023,0.929845345994298,0.929364571933102,0.932459542389284,0.933793651690278,0.934423410563223,0.937135698263449,0.941103427797325,0.948336904081758,0.955969272348764,0.962473789481029,0.9695912304934,0.973803476766447,0.97851229292611,0.980777500820467,0.992024754637668,0.995830726656778,0.997821175760119,0.998900749038507,0.99944397239316,0.999712630761465,0.999846737539544,0.999917535387653,0.999953208435446,0.999970712070005,0.999979868239995,0.999985144402241,0.999988949706311,0.0057723416737036,0.00574910564133934,0.00571541544784771,0.00568861818995696,0.00565404661621508,0.00562852605536397,0.00560011328987251,0.00556954945799385,0.00553341182929535,0.00549917535688795,0.00535286061890261,0.00518962676058402,0.00495296126047003,0.0044515595940824,0.00423977755514212,0.00382201790329163,0.00345689381207448,0.00308667078244061,0.00288541978149543,0.0013863193813031,0.000865271436308321,0.000574019583864553,0.000382699907959903,0.000253650026291328,0.000165757552081966,0.000105184094586494,6.45922166854139e-05,3.9378170504033e-05,2.27006259981796e-05,1.37953841435137e-05,7.84801768178095e-06,0.000374513951321744,0.000377014470903707,0.000377951801403557,0.000382962171911137,0.000386328124345741,0.000390880338871716,0.000393510175846599,0.000398417887055853,0.000402434100474941,0.000405431375438745,0.000372648548159195,0.000356282197278436,0.000340351771207973,0.000246744348211387,0.000248076712219542,0.000194991836950822,0.000151974920377683,0.000121802843513839,0.000102950854285147,5.37593544030519e-05,4.00500711643834e-05,2.70434624189745e-05,2.25474674617124e-05,8.9802489798982e-06,5.26078506184635e-06,2.9663033963074e-06,2.03281860598215e-08,5.92556615968529e-09,1.04781229890817e-09,0,0,0.0169784659863212,0.0167679653764928,0.0166850806630677,0.0165326744567561,0.0163376045028731,0.0162094507769344,0.016002603002163,0.0157630108901905,0.0155981967329614,0.0154340284241772,0.0150843703883178,0.0145317007712652,0.0136408573069346,0.0122023507769555,0.0113077178373098,0.0100655301880264,0.00910076681958049,0.00774607018028949,0.00751369992588686,0.00435101707975923,0.00308959216066019,0.00228200457093793,0.00169578449320278,0.00123209043158703,0.000885169258804617,0.000613837851106239,0.000431211253965481,0.000303377476469279,0.000186933373687103,0.000103973801316549,5.61480779911386e-05
ETH,66179525.4017552,Enhanced frequency,0.922874337831543,0.922579791162136,0.923179585782944,0.926462839602208,0.928593744113148,0.928912087199287,0.928068698471351,0.933803107701275,0.93565582100422,0.939078111904994,0.940690629789289,0.947747408801999,0.955835190327595,0.962554628711447,0.969373967401657,0.973960160841134,0.978523847915332,0.980875869110541,0.996404857936532,0.998299740840992,0.9990365198994,0.999408440038831,0.999622653733637,0.999759162791384,0.999842825088469,0.999895674507322,0.999930579621919,0.999952309833583,0.999966785872852,0.999976234092796,0.999983214007124,0.00580248740310135,0.00577659314268351,0.0057472324556331,0.00572015151481247,0.00567746048856988,0.0056473374188434,0.00560965705958733,0.00558374566042451,0.00554425282950537,0.00549121224433534,0.00535982923927358,0.00520352094618748,0.00494970639992737,0.00445839410433233,0.00424940044301765,0.003837983110247,0.003463224138689,0.00308466667981382,0.00288606218640318,0.00077589644599058,0.000454365463727744,0.000292241663092513,0.000185792970899849,0.000112355399746084,6.61550047639017e-05,4.05134369031853e-05,2.5305012266984e-05,1.78907267321629e-05,1.20063929957062e-05,7.61041542025528e-06,4.10266684056737e-06,0.000374930626385666,0.000377417121243826,0.000378140304550607,0.000383532256313924,0.00038669120333696,0.000391455744773465,0.000393928813056779,0.000398773800146262,0.000402500684181925,0.000405367009690846,0.000372789714321284,0.000356555274045035,0.000340338614138691,0.000246771482897607,0.000248043283594902,0.000195046120875598,0.000151859914528064,0.00012159736384166,0.000102227032558763,4.00654071182169e-05,2.58676924272887e-05,8.92706709053565e-06,5.44480581917735e-06,2.9537078319478e-06,1.09692658764005e-08,1.43309264801454e-09,0,0,0,0,0,0.0171737739859523,0.0170879210486989,0.0169260463494285,0.0168271020640925,0.0165398719258671,0.0163230690752005,0.0161909878898564,0.016094793655796,0.015735325306188,0.0155136445427009,0.0150775491151258,0.014504016951576,0.0137225301670024,0.0122664224929351,0.0115065099655083,0.0101058300783642,0.00915306850537699,0.00774458329683644,0.00751757222285956,0.00259955743022822,0.00179159274603754,0.00135778503143867,0.00103594342139348,0.00073996991533472,0.00052223993030467,0.000396326593261239,0.000280055185187781,0.000156444611225776,0.00010254775837571,6.19783203356405e-05,3.97234581900172e-05
